Filename,Runtime in MS,
1,55,rain
2,54,rain
3,53,rain
4,52,rain
5,51,rain
6,50,rain
7,49,rain
8,48,rain
9,47,rain
10,46,rain
11,45,rain
12,44,rain
13,43,rain
14,42,rain
15,41,rain
16,40,rain
17,39,rain
18,38,rain
19,37,rain
20,36,rain
21,35,rain
22,34,rain
23,33,rain
24,32,rain
25,31,rain
26,30,rain
27,29,rain
28,13,rain
29,13,rain
30,12,rain
31,11,rain
32,10,rain
33,10,rain
34,9,rain
35,7,rain
36,6,rain
37,5,rain
38,5,rain
39,4,rain
40,4,rain
41,4,rain
42,3,rain
43,2,rain
44,1,rain
45,0,rain
46,0,rain
46,0,rain
48,7,int2Eng
49,6,int2Eng
50,5,int2Eng
51,4,int2Eng
52,3,int2Eng
53,2,int2Eng
54,1,int2Eng
55,0,int2Eng
56,67,minSubIncr
57,57,minSubIncr
58,56,minSubIncr
59,55,minSubIncr
60,54,minSubIncr
61,53,minSubIncr
62,52,minSubIncr
63,51,minSubIncr
64,50,minSubIncr
65,45,minSubIncr
66,43,minSubIncr
67,42,minSubIncr
68,41,minSubIncr
69,40,minSubIncr
70,39,minSubIncr
71,38,minSubIncr
72,37,minSubIncr
73,36,minSubIncr
74,35,minSubIncr
75,34,minSubIncr
76,33,minSubIncr
77,32,minSubIncr
78,31,minSubIncr
79,30,minSubIncr
80,29,minSubIncr
81,28,minSubIncr
82,27,minSubIncr
83,26,minSubIncr
84,25,minSubIncr
85,24,minSubIncr
86,23,minSubIncr
87,22,minSubIncr
88,21,minSubIncr
89,20,minSubIncr
90,19,minSubIncr
91,18,minSubIncr
92,17,minSubIncr
93,16,minSubIncr
94,15,minSubIncr
95,14,minSubIncr
96,13,minSubIncr
97,12,minSubIncr
98,10,minSubIncr
99,8,minSubIncr
100,6,minSubIncr
101,5,minSubIncr
102,4,minSubIncr
103,2,minSubIncr
104,0,minSubIncr
105,0,minSubIncr
106,0,minSubIncr